Aaberg	'o:-%b{rg
utrigga	'}:-%trI-gA
utriggeren	"}:-%trI-g@-n`=
utriggers	"}:-%trI-g@s`
utringe	'}:-%trIN-@
utringinga	'}:t-%rIN-IN-A
utringingens	'}:t-%rIN-IN-@ns
utringningen	'}:t-%rIN-nIN-@n
utrivsels	"}:-%trIv-s@ls
utrivslers	"}:-%trIv-sl@s`
utrognens	"}:-%trON-nn=s
utroligere	u0-'tru:-lI-@-r@
utropende	'}:-%tru:-p@-n@
utroperen	"}:-%tru:-p@-n`=
utropernes	"}:-%tru:-p@r-n`@s
utroper	"}:-%tru:-p@r
utropet	'}:-%tru:-p@t
utropstegns	"}:-trUp-%st{*Ins
utrøtteliges	u0-'tr9-t@-lI-@s
utrugingsmaskinens	'}:t-r}:-gINs-mA-%Si:-nn=s
utrugnings	'}:t-%r}:-gnINs
utruliges	u0-'tr}:-lI-@s
utruskaper	"}:-tru0-%skA:-p@r
utrustningene	'}:-%tru0st-nIN-@-n@
utrustningens	'}:-%tru0st-nIN-@ns
utrust	'}:-%tru0st
utrutts	"}:-%tru0ts
utryddelser	'}:-%trY-dl=-s@r
utryddelseskrigene	'}:-trY-dl=-s@s-%kri:-g@-n@
utrykket	'}:-%trY-k@t
utrykkinga	'}:-%trY-kIN-A
utrykksmidlenes	"}:-trYks-%mId-ln=-@s
utrykningene	'}:-%trY-knIn-k@-n@
utrykninger	'}:-%trY-knIn-k@r
utrykningskjøretøyers	'}:-trY-knINs-C9-r@-%t9*Y-@s`
utrykningskjøring	'}:-trY-knINs-%C2:-rIN
utrykningsordrene	'}:-trY-knINs-%Od`-n`=-@
utrykningsordren	'}:-trY-knINs-%Od`-n`=
utrykningsordre	'}:-trY-knINs-%Od`-r@
utrykningspolitiene	'}:-trY-knINs-pU-lI-%ti:-@-n@
utrykningspoliti	'}:-trY-knINs-pU-lI-%ti:
utrykningssjefens	'}:-trY-knINs-%Se:-f@ns
utrykningssjefers	'}:-trY-knINs-%s`e:-f@s`
utrykningssjefer	'}:-trY-knINs-%Se:-f@r
utrykningssjef	'}:-trY-knINs-%Se:f
utryknings	'}:-%trY-knInks
utsæden	"}:t-%se:-dn=
utsæd	"}:t-%se:d
utsagna	"}:t-%sAN-nA
utsagnssetningenes	"}:t-sANns-%sEt-nIN-@-n@s
utsagnssetningens	"}:t-sANns-%sEt-nIN-@ns
utsagns	"}:t-%sANns
utsagtes	'}:t-%sAk-t@s
utsalgenes	"}:t-%sAl-g@-n@s
utsalgsstedene	"}:t-sAlgs-%ste:-dn=-@
utsalgsvarene	"}:t-sAlgs-%vA:-n`=-@
utsalgsvarers	"}:t-sAlgs-%vA:-r@s`
utsalgsvares	"}:t-sAlgs-%vA:-r@s
utseendene	"}:t-%se:-@-nn=-@
utseglede	'}:t-%s{*I-l@-d@
utseglinga	'}:t-%s{*I-lIN-A
utseilingshavnene	'}:t-s{*I-lINs-%hAv-nn=-@
utseilts	'}:t-%s{*Ilts
utsendelse	'}:t-%sE-nl=-s@
utsendings	"}:t-%sE-nINs
utsendtes	'}:t-%sEn-t@s
utsettelsene	'}:t-%sE-tl=-sn=-@
utsettelsers	'}:t-%sE-tl=-s@s`
utsettelsesperioden	'}:t-s@-tl=-s@s-p@-rI-%u:-dn=
utsettendes	'}:t-%sE-tn=-@s
utsetter	'}:t-%sE-t@r
utsettingers	'}:t-%sE-tIN-@s`
utsettings	'}:t-%sE-tINs
utsida	"}:t-%si:-dA
utsidenes	"}:t-%si:-dn=-@s
utsiget	"}:t-%si:-g@
utsiktene	"}:t-%sIk-tn=-@
utsiktsterrasse	"}:t-sIkts-t@-%rA-s@
utsiling	'}:t-%si:-lIN
Utsiragata	"}:t-si:-rA-%gA:-tA
utsjaltede	'}:t-%SAl-t@-d@
utsjekking	'}:t-%SE-kIN
utskårets	'}:t-%sko:-r@ts
utskeien	"}:t-%S{*I-@n
utskeiingenes	'}:t-%S{*I-IN-@-n@s
utskeiingene	'}:t-%S{*I-IN-@-n@
utskeis	"}:t-%S{*Is
utskiftbarts	"}:t-s`Ift-%bA:t`s`
utskifteliges	u0t-'SIf-t@-lI-@s
utskiftings	'}:t-%SIf-tINs
utskiftninger	'}:t-%SIft-nIN-@r
utskiftning	'}:t-%SIft-nIN
utskillendes	'}:t-%SI-ln=-@s
utskillende	'}:t-%SI-ln=-@
utskiller	'}:t-%SI-l@r
utskilte	'}:t-%SIl-t@
utskilt	'}:t-%SIlt
utskipendes	'}:t-%Si:-p@-n@s
utskiperne	"}:t-%Si:-p@-n`@
utskipingsstedene	'}:t-Si:-pINs-%ste:-dn=-@
utskipingssteders	'}:t-s`i:-pINs-%ste:-d@s`
utskipingsstedets	'}:t-Si:-pINs-%ste:-d@ts
utskipingsstedet	'}:t-Si:-pINs-%ste:-d@
utskiping	'}:t-%Si:-pIN
utskipningsstedets	'}:t-Si:p-nINs-%ste:-d@ts
utskipningssteds	'}:t-Si:p-nINs-%ste:ds
utskipning	'}:t-%Si:p-nIN
utskjæras	"}:t-%S{:-rAs
utskjæra	"}:t-%S{:-rA
utskjærenes	"}:t-%S{:-n`=-@s
utskjæreres	"}:t-%S{:-r@-r@s
utskjærer	"}:t-%S{:-r@r
utskjæringene	'}:t-%S{:-rIN-@-n@
utskjæringen	'}:t-%S{:-rIN-@n
utskjellinga	'}:t-%SE-lIN-A
utskjemts	'}:t-%SEmts
utskjenkingsstedene	'}:t-S@N-kINs-%ste:-dn=-@
utskjenkingssted	'}:t-S@N-kINs-%ste:d
utskjenkningssted	'}:t-S@N-knINs-%ste:d
utskottsvarers	"}:t-skOts-%vA:-r@s`
utskrådde	'}:t-%skrO-d@
utskrådd	'}:t-%skrOd
utskrapingene	'}:t-%skrA:-pIN-@-n@
utskrapinger	'}:t-%skrA:-pIN-@r
utskraping	'}:t-%skrA:-pIN
utskriftas	"}:t-%skrIf-tAs
utskriftens	"}:t-%skrIf-tn=s
utskrifter	"}:t-%skrIf-t@r
utskrivingens	'}:t-%skri:-vIN-@ns
utskrivningenes	'}:t-%skri:v-nIN-@-n@s
utskrivningens	'}:t-%skri:v-nIN-@ns
utskuddsvarene	"}:t-sku0ds-%vA:-n`=-@
utskuddsvarer	"}:t-sku0ds-%vA:-r@r
utskurdens	"}:t-%sk}:-n`=s
utskutt	'}:t-%sku0t
utskyllingas	'}:t-%SY-lIN-As
utskyllinga	'}:t-%SY-lIN-A
utskyllingens	'}:t-%SY-lIN-@ns
utskyllingen	'}:t-%SY-lIN-@n
utskytende	'}:t-%Sy:-tn=-@
utskytingsrampas	'}:t-Sy:-tINs-%rAm-pAs
utskytingsrampe	'}:t-Sy:-tINs-%rAm-p@
utskyting	'}:t-%Sy:-tIN
utskytningens	'}:t-%Sy:t-nIN-@ns
utskytningsbasen	'}:t-Sy:t-nINs-%bA:-sn=
utskytningsrampenes	'}:t-Sy:t-nINs-%rAm-p@-n@s
utslagets	"}:t-%SlA:-g@ts
utslagningssystem	'}:t-SlA:-gnINs-sY-%ste:m
utslagsgivende	"}:t-SlAgs-%ji:-v@-n@
utslagsmetodene	"}:t-SlA:gs-m@-%tu:-dn=-@
utslagsmetodes	"}:t-SlA:gs-m@-%tu:-d@s
utslagsvinkelens	"}:t-SlA:gs-%vIN-k@lns
utslåtter	'}:t-%SlO-t@r
utsleppenes	"}:t-%SlE-p@-n@s
utsleppene	"}:t-%SlE-p@-n@
utsleppstillatelsens	"}:t-Sl@ps-tI-%lA:-tl=-sn=s
utsleppstillatelsers	"}:t-s`l@ps-tI-%lA:-tl=-s@s`
utslettendes	'}:t-%SlE-tn=-@s
utsletting	'}:t-%SlE-tIN
utslippas	"}:t-%SlI-pAs
utslippene	"}:t-%SlI-p@-n@
utslippsreduksjonene	"}:t-SlIps-r@-du0k-%Su:-nn=-@
utslippstillatelsers	"}:t-s`lIps-tI-%lA:-tl=-s@s`
utslittes	'}:t-%SlI-t@s
utslitt	'}:t-%SlIt
utsløktes	'}:t-%Sl9k-t@s
utsloktes	'}:t-%SlOk-t@s
utslukts	'}:t-%Sl}:kts
utslupne	'}:t-%SlUp-n@
utsluppete	'}:t-%SlU-p@-t@
utslyngendes	'}:t-%SlYN-@-n@s
utslyngende	'}:t-%SlYN-@-n@
utslynget	'}:t-%SlYN-@t
utslynging	'}:t-%SlYN-IN
utslyngt	'}:t-%SlYNt
utsmykkendes	'}:t-%smY-k@-n@s
utsmykking	'}:t-%smY-kIN
utsmykk	'}:t-%smYk
utsmykningsfondet	'}:t-smY-knINs-%fO-n@
utsnitt	"}:t-%snIt
utsolgte	'}:t-%sOl-t@
utsondras	'}:t-%sOn-drAs
utsondres	'}:t-%sOn-dr@s
utsones	'}:t-%su:-n@s
utsonets	'}:t-%su:-n@ts
utsonet	'}:t-%su:-n@t
utsontes	'}:t-%su:n-t@s
utsorteres	'}:t-sO-%t`e:-r@s
utsparende	'}:t-%spA:-n`=-@
utsparingenes	'}:t-%spA:-rIN-@-n@s
utspark	"}:t-%spArk
utspart	'}:t-%spA:t`
utspeidas	'}:t-%sp{*I-dAs
utspeider	'}:t-%sp{*I-d@r
utspeidete	'}:t-%sp{*I-d@-t@
utspeidet	'}:t-%sp{*I-d@t
utspelet	"}:t-%spe:-l@
utspenning	'}:t-%spE-nIN
utspilling	'}:t-%spI-lIN
utspills	"}:t-%spIls
utspill	"}:t-%spIl
utspilt	'}:t-%spIlt
utspinner	'}:t-%spI-n@r
utspioneres	'}:t-spI-U-%ne:-r@s
utspionertes	'}:t-spI-U-%ne:-t`@s
utspionert	'}:t-spI-U-%ne:t`
utspjåka	'}:t-%spjo:-kA
utspjåkt	'}:t-%spjo:kt
utspørringas	'}:t-%sp9-rIN-As
utspørringens	'}:t-%sp9-rIN-@ns
utspørrings	'}:t-%sp9-rINs
utspreddes	'}:t-%sprE-d@s
utsprengingas	'}:t-%sprEN-IN-As
utsprengninger	'}:t-%sprEN-nIN-@r
utsprer	'}:t-%spre:r
utsprings	"}:t-%sprINs
utspurt	'}:t-%sp}:t`
utståendes	'}:t-%sto:-@-n@s
utstafferer	'}:t-stA-%fe:-r@r
utstaffering	'}:t-stA-%fe:-rIN
utstafferte	'}:t-stA-%fe:-t`@
utstafferts	'}:t-stA-%fe:t`s`
utstasete	'}:t-%stA:-s@-t@
utstaste	'}:t-%stA:-st@
utstedede	'}:t-%ste:-d@-d@
utstedelsenes	'}:t-%ste:-dl=-sn=-@s
utstedelsers	'}:t-%ste:-dl=-s@s`
utstedelsesdagens	'}:t-ste:-dl=-s@s-%dA:-g@ns
utstedelsessteder	'}:t-ste:-dl=-s@s-%ste:-d@r
utstikkerbryggene	"}:t-stI-k@r-%brY-g@-n@
utstikkerbryggers	"}:t-stI-k@r-%brY-g@s`
utstikkernes	"}:t-%stI-k@r-n`@s
utstikkers	"}:t-%stI-k@s`
utstikkingenes	'}:t-%stI-kIN-@-n@s
utstikkingens	'}:t-%stI-kIN-@ns
utstikkingen	'}:t-%stI-kIN-@n
utstikninger	'}:t-%stI-knIN-@r
utstillerers	"}:t-%stI-l@-r@s`
utstiller	"}:t-%stI-l@r
utstille	'}:t-%stI-l@
utstillingsåpning	'}:t-stI-lINs-%o:p-nIN
utstillingsarkitekt	'}:t-stI-lINs-Ar-kI-%tEkt
utstillingsdokkens	'}:t-stI-lINs-%dO-k@ns
utstillingsdukkers	'}:t-stI-lINs-%dU-k@s`
utstillingsdukker	'}:t-stI-lINs-%dU-k@r
utstillingskassens	'}:t-stI-lINs-%kA-sn=s
utstillingslokalers	'}:t-stI-lINs-lU-%kA:-l@s`
utstillingslokalet	'}:t-stI-lINs-lU-%kA:-l@
utstillingsmontrenes	'}:t-stI-lINs-%mOn-tr@-n@s
utstillingsmontrens	'}:t-stI-lINs-%mOn-tr@ns
utstillingsmontres	'}:t-stI-lINs-%mOn-tr@s
utstillingsobjekter	'}:t-stI-lINs-O-%jEk-t@r
utstillingsrommenes	'}:t-stI-lINs-%rU-m@-n@s
utstillingsvare	'}:t-stI-lINs-%vA:-r@
utstillingsvinduas	'}:t-stI-lINs-%vIn-du0-As
utstillingsvindua	'}:t-stI-lINs-%vIn-du0-A
utstillingsvinduets	'}:t-stI-lINs-%vIn-du0-@ts
utstill	'}:t-%stIl
utstilte	'}:t-%stIl-t@
utstilts	'}:t-%stIlts
utstoppendes	'}:t-%stO-p@-n@s
utstoppende	'}:t-%stO-p@-n@
utstopperen	"}:t-%stO-p@-n`=
utstøtes	'}:t-%st2:-t@s
utsto	'}:t-%stu:
utstøytes	'}:t-%st9*Y-t@s
utstøytts	'}:t-%st9*Yts
utstrålingas	'}:t-%stro:-lIN-As
utstrekninger	'}:t-%strE-knIN-@r
utstreknings	'}:t-%strE-knINs
utstrømmingsventil	'}:t-str9-mINs-v@n-%ti:l
utstrømming	'}:t-%str9-mIN
utstrømningen	'}:t-%str9m-nIN-@n
utstrømningsventil	'}:t-str9m-nINs-v@n-%ti:l
utstrykingene	'}:t-%stry:-kIN-@-n@
utstrykingens	'}:t-%stry:-kIN-@ns
utstryking	'}:t-%stry:-kIN
utstrykningenes	'}:t-%stry:-knIN-@-n@s
utstrykningens	'}:t-%stry:-knIN-@ns
utstykt	'}:t-%stYkt
utstyres	'}:t-%sty:-r@s
utstyre	'}:t-%sty:-r@
utstyrsanskaffelser	"}:t-stYs`-An-%skA-fl=-s@r
utstyrsdetalj	"}:t-sty:s`-d`@-%tAlj
utstyrsfilmen	"}:t-sty:s`-%fIl-m@n
utstyrsfilms	"}:t-sty:s`-%fIlms
utstyrsinvesteringene	"}:t-sty:s`-In-v@-%ste:-rIN-@-n@
utstyrsmagasinas	"}:t-sty:s`-mA-gA-%si:-nAs
utstyrsmagasin	"}:t-sty:s`-mA-gA-%si:n
utstyrssiden	"}:t-sty:s`-%s`i:-dn=
utstyrtes	'}:t-%sty:-t`@s
utstyrte	'}:t-%sty:-t`@
utstyrt	'}:t-%sty:t`
utsugdes	'}:t-%su0g-d@s
utsugerers	"}:t-%s}:-g@-r@s`
utsulta	'}:t-%su0l-tA
utsultingsblokaden	'}:t-su0l-tINs-blO-%kA:-dn=
utsvettete	'}:t-%svE-t@-t@
utsvettets	'}:t-%svE-t@ts
utsvetts	"}:t-%svEts
utsvett	"}:t-%svEt
utsvevelsene	'}:t-%sve:-vl=-sn=-@
utsvevelses	'}:t-%sve:-vl=-s@s
utsvingas	'}:t-%svIN-As
utsvingningenes	'}:t-%svIN-nIN-@-n@s
utsvingningens	'}:t-%svIN-nIN-@ns
utsvingninger	'}:t-%svIN-nIN-@r
utsvingnings	'}:t-%svIN-nINs
utsyna	"}:t-%sy:-nA
utsynspunktenes	"}:t-sy:ns-%pUNk-tn=-@s
utsynspunktene	"}:t-sy:ns-%pUNk-tn=-@
utsynspunkts	"}:t-sy:ns-%pUNkts
utsyns	"}:t-%sy:ns
uttagelsen	'}:-%tA:-gl=-sn=
uttagningsrunder	'}:-tA:-gnINs-%ru0n-d@r
uttainga	'}:-%tA:-IN-A
uttaingenes	'}:-%tA:-IN-@-n@s
uttainger	'}:-%tA:-IN-@r
uttaingsrennene	'}:-tA:-INs-%rE-nn=-@
uttaingsrenns	'}:-tA:-INs-%rEns
uttakelsenes	'}:-%tA:-kl=-sn=-@s
uttakelsens	'}:-%tA:-kl=-sn=s
uttakets	"}:-%tA:-k@ts
uttakingene	'}:-%tA:-kIN-@-n@
uttakingsrennas	'}:-tA:-kINs-%rE-nAs
uttakingsrennene	'}:-tA:-kINs-%rE-nn=-@
uttakingsrennets	'}:-tA:-kINs-%rE-n@ts
uttalelsen	'}:-%tA:-ll=-sn=
uttalelse	'}:-%tA:-ll=-s@
uttalene	"}:-%tA:-ln=-@
uttall	"}:-%tAl
uttalte	'}:-%tA:l-t@
utta	'}:-%tA:
uttatte	'}:-%tA-t@
uttatt	'}:-%tAt
uttegnendes	'}:-%t{*I-nn=-@s
uttegnernes	'}:-%t{*I-n@r-n`@s
uttegningen	'}:-%t{*I-nIN-@n
uttellingenes	'}:-%tE-lIN-@-n@s
uttestingen	'}:-%tE-stIN-@n
Uttian	"u0-tI-An
uttogets	"}:-%to:-g@ts
uttog	"}:-%to:g
uttømmingene	'}:t-%t9-mIN-@-n@
uttømt	'}:-%t9mt
uttråddes	'}:-%trO-d@s
uttrådt	'}:-%trOt
uttredelsene	'}:-%tre:-dl=-sn=-@
uttredelses	'}:-%tre:-dl=-s@s
uttredener	"}:-%tre:-dn=-@r
uttrekkas	"}:-%trE-kAs
uttrekkene	"}:-%trE-k@-n@
uttrekkingas	'}:-%trE-kIN-As
uttrekkings	'}:-%trE-kINs
uttrekksbordas	"}:-tr@ks-%bu:-rAs
uttrekksbordene	"}:-tr@ks-%bu:-n`=-@
uttrekkssengens	"}:t-r@ks-%sEN-@ns
uttrekkssengers	"}:t-r@ks-%sEN-@s`
uttrekk	"}:-%trEk
uttrykke	'}:-%trY-k@
uttrykksbehov	"}:-trYks-b@-%hu:v
uttrykksevna	"}:-trYks-%Ev-nA
uttrykksevnene	"}:-trYks-%Ev-nn=-@
uttrykksformas	"}:-trYks-%fOr-mAs
uttrykkslause	"}:t-rYk-%slE*u0-s@
uttrykksløs	"}:-trYk-%sl2:s
uttrykksmåtenes	"}:-trYks-%mo:-tn=-@s
uttrykksmåten	"}:-trYks-%mo:-tn=
uttrykksmidler	"}:-trYks-%mId-l@r
utturenes	"}:-%t}:-n`=-@s
uttydas	'}:-%ty:-dAs
uttydninger	'}:-%ty:d-nIN-@r
uttydning	'}:-%ty:d-nIN
uttynning	'}:-%tY-nIN
utukter	"}:-%tu0k-t@r
utuktiges	"}:-%tu0k-tI-@s
utværene	"}:-%tv{:-n`=-@
utvalget	"}:-%tvAl-g@
utvalgsgodtgjørelser	"}:-tvAlgs-gO-%tj2:-l`=-s@r
utvalgsmedlemmenes	"}:-tvAlgs-m@d-%lE-m@-n@s
utvalgs	"}:-%tvAlgs
utvandra	'}:-%tvAn-drA
utvandrerhistorie	"}:-tvAn-dr@r-hI-%stu:-rI-@
utvandrerskipa	"}:t-vAn-dr@r-%Si:-pA
utvandrerskipets	"}:t-vAn-dr@r-%Si:-p@ts
utvandringenes	'}:-%tvAn-drIN-@-n@s
utvandringskontorene	'}:t-vAn-drINs-kUn-%tu:-n`=-@
utvandringskontoret	'}:t-vAn-drINs-kUn-%tu:-r@
utvandringstillatelsen	'}:-tvAn-drINs-tI-%lA:-tl=-sn=
utvanner	'}:-%tvA-n@r
utvannete	'}:-%tvA-n@-t@
utvanningens	'}:-%tvA-nIN-@ns
utvaska	'}:-%tvA-skA
utvasketes	'}:-%tvA-sk@-t@s
utvaskete	'}:-%tvA-sk@-t@
utvasket	'}:-%tvA-sk@t
utvatna	'}:t-%vAt-nA
utvatnende	'}:t-%vAt-nn=-@
utvatningene	'}:t-%vA:t-nIN-@-n@
utvatningens	'}:t-%vA:t-nIN-@ns
utveger	"}:-%tv{*I-@r
utveiens	"}:-%tv{*I-@ns
utvekslet	'}:-%tvEk-sl@t
utvekslingers	'}:-%tvEk-slIN-@s`
utvekslingsforholda	'}:-tv@k-slINs-fOr-%hO-lA
utvekslingsforholdene	'}:-tv@k-slINs-fOr-%hO-ln=-@
utvekslingsforholdet	'}:-tv@k-slINs-fOr-%hO-l@
utvekstene	"}:-%tvEk-stn=-@
utveksters	"}:-%tvEk-st@s`
utvelgelsenes	'}:-%tvEl-gl=-sn=-@s
utvelger	'}:-%tvEl-g@r
utvelgingen	'}:-%tvEl-gIN-@n
utve	"}:-%tve:
utvetydige	"}:-tve:-%ty:-dI-@
utvidede	'}:-%tvi:-d@-d@
utvidelsesmuligheten	'}:-tvi:-dl=-s@s-m}:-lI-%he:-tn=
utvidelsesmulighets	'}:-tvi:-dl=-s@s-m}:-lI-%he:ts
utvidelsesprosessen	'}:-tvI-dl=-s@s-prU-%sE-sn=
utvides	'}:-%tvi:-d@s
utvidete	'}:-%tvi:-d@-t@
utvidingas	'}:-%tvi:-dIN-As
utviding	'}:-%tvi:-dIN
utvikles	'}:-%tvI-kl@s
utvikletes	'}:-%tvI-kl@-t@s
utviklingene	'}:-%tvI-klIN-@-n@
utviklingsaldere	'}:-tvIk-lINs-%Al-d@-r@
utviklingsalder	'}:-tvIk-lINs-%Al-d@r
utviklingsaldrenes	'}:-tvIk-lINs-%Al-dr@-n@s
utviklingsdirektør	'}:-tvI-klINs-dI-r@k-%t2:r
utviklingsdyktigs	'}:-tvIk-lINs-%dYk-tIs
utviklingsfond	'u:-tvI-klINs-%fOn
utviklingsganger	'}:-tvI-klINs-%gAN-@r
utviklingsgruppe	'}:-tvI-klINs-%gru0-p@
utviklingshemmede	'}:-tvI-klINs-%hE-m@-d@
utviklingskompetanse	'}:-tvI-klINs-kOm-p@-%tAN-s@
utviklingslæras	'}:-tvI-klINs-%l{:-rAs
utviklingslæren	'}:-tvI-klINs-%l{:-n`=
utviklingslærers	'}:-tvI-klINs-%l{:-r@s`
utviklingslære	'}:-tvI-klINs-%l{:-r@
utviklingsområdas	'}:-tvIk-lINs-Om-%ro:-dAs
utviklingsområdenes	'}:-tvIk-lINs-Om-%ro:-dn=-@s
utviklingsområdet	'}:-tvIk-lINs-Om-%ro:-d@
utviklingsoptimismes	'}:-tvIk-lINs-Op-tI-%mI-sm@s
utviklingsorientert	'}:-tvI-klINs-O-rI-@n-%te:t`
utviklingsplaner	'}:-tvI-klINs-%plA:-n@r
utviklingsproblemene	'}:-tvI-klINs-prU-%ble:-m@-n@
utviklingsprogram	'}:-tvI-klINs-prU-%grAm
utviklingsprosjektet	'}:-tvI-klINs-prU-%SEk-t@
utviklingsrekken	'}:-tvI-klINs-%rE-k@n
utviklingstendenser	'}:-tvI-klINs-t@n-%dEn-s@r
utviklingstiltak	'}:-tvI-klINs-tIl-%tA:k
utviklingstrinnene	'}:-tvI-klINs-%trI-nn=-@
utviklingstrinnets	'}:-tvI-klINs-%trI-n@ts
utviklingstro	'}:-tvI-klINs-%tru:
utvinnende	'}:-%tvI-nn=-@
utvinner	'}:-%tvI-n@r
utvinnes	'}:-%tvI-n@s
utvinningstempoet	'}:-tvI-nINs-%tEm-pU-@
utvirka	'}:-%tvIr-kA
utvirkende	'}:-%tvIr-k@-n@
utvirkets	'}:-%tvIr-k@ts
utvises	'}:-%tvi:-s@s
utviskede	'}:t-%vI-sk@-d@
utvisket	'}:t-%vI-sk@t
utvisningene	'}:-%tvi:-snIN-@-n@
utvisningsboksers	'}:-tvi:s-nINs-%bOk-s@s`
utvisning	'}:-%tvi:-snIN
utvist	'}:-%tvi:st
utvokste	'}:-%tvOk-st@
utvungents	"}:-%tvUN-@nts
utvungen	"}:-%tvUN-@n
utydelige	u0-'ty:-dl=-I-@
utyskers	"}:-%tY-sk@s`
utysket	"}:-%tY-sk@
uutsletteligs	u0-u0t-'SlE-t@-lIs
uutslokkelig	}:-u0t-'slO-k@-lI
uutslukkelige	u0-u0t-'SlU-k@-lI-@
uutslukkelig	u0-u0t-'SlU-k@-lI
uutsprungne	"}:-}:t-%sprUN-n@
uuttømmeligs	u0-u0-'t9-m@-lIs
uuttømmelig	u0-u0-'t9-m@-lI
uvæpnedes	"}:-%ve:p-n@-d@s
uvæpnete	"}:-%ve:p-n@-t@
uværa	"}:-%v{:-rA
uværsdagenes	"}:-v{:s`-%d`A:-g@-n@s
uværsfuglenes	"}:-v{:s`-%f}:-ln=-@s
uværsfuglens	"}:-v{:s`-%f}:-ln=s
uværsfuglers	"}:-v{:s`-%f}:-l@s`
uværshimmels	"}:-v{:s`-%hI-m@ls
uværsnatts	"}:-v{:s`-%n`Ats
uværsnetters	"}:-v{:s`-%n`E-t@s`
uværsskyenes	"}:-v{:s`-%s`y:-@-n@s
uværsskyen	"}:-v{:s`-%s`y:-@n
uvanene	"}:-%vA:-nn=-@
uvanen	"}:-%vA:-nn=
uvanligs	u0-'vA:n-lIs
uvederheftige	"}:-ve:-d@r-%hEf-tI-@
uvegerlige	u0-'ve:-g@-l`I-@
uvegerlig	u0-'ve:-g@-l`I
uveisommes	"}:-v{*I-%sO-m@s
uvelkommens	"}:-v@l-%kO-m@ns
uvelkomments	"}:-v@l-%kO-m@nts
uvelkomment	"}:-v@l-%kO-m@nt
uvennligere	"}:-%vEn-lI-@-r@
uvennliges	"}:-%vEn-lI-@s
uvennlighetene	u0-'vEn-lI-%he:-tn=-@
uvennskapeligs	u0-v@n-'skA:-p@-lIs
uvennskapelig	u0-v@n-'skA:-p@-lI
uventa	"}:-%vEn-tA
uverdigs	u0-'v{-d`Is
uverdig	u0-'v{d`I
uvesentligheta	u0-'ve:-sn=t-lI-%he:-tA
uvesentligs	u0-'ve:-sn=t-lIs
uvettigstes	"}:-%vE-tIg-st@s
uvetting	"}:-%vE-tIN
uviljenes	"}:-%vIl-j@-n@s
uviljens	"}:-%vIl-j@ns
uvilje	"}:-%vIl-j@
uvirksomheten	"}:-vIrk-sOm-%he:-tn=
uvirksomheter	"}:-vIrk-sOm-%he:-t@r
uvirksomst	"}:-vIrk-%sOmst
uvirksomt	"}:-vIrk-%sOmt
uvisses	"}:-%vI-s@s
uvitenhet	u0-'vi:-tn=-%he:t
uvitenskapelig	"}:-vi:-tn=-%skA:-p@-lI
uvittiges	"}:-%vI-tI-@s
uvoksen	"}:-%vOk-sn=
uvoksnes	"}:-%vOk-sn@s
uvøra	"}:-%v2:-rA
uvørdents	"}:-%v2:-n`=t`S
uvørden	"}:-%v2:-n`=
uvørdingene	"}:-%v2:-rIN-@-n@
uvørding	"}:-%v2:-rIN
uvørdnadene	"}:-%v2:-n`A-dn=-@
uvørdslige	"}:-%v2:-s`lI-@
uvørdsligs	"}:-%v2:-s`lIs
uvøre	"}:-%v2:-r@
uvøringene	"}:-%v2:-rIN-@-n@
uvørnere	"}:-%v2:-n`@-r@
uvørne	"}:-%v2:-n`@
uvørsliges	"}:-%v2:-s`lI-@s
uvørslig	"}:-%v2:-s`lI
Vaaler	"vo:-l@r
Vaarø	"vo:-%r2:
vabba	"vA-bA
vablete	"vA-bl@-t@
våbønnas	"vo:-%b9-nAs
våbønnene	"vo:-%b9-nn=-@
vada	'vA:-dA
vadbeinas	'vA:-%b{*I-nAs
vadbeinet	'vA:-%b{*I-n@
Vadbu	"vA:-%b}:
vadderotene	"vA-d@-%ru:-tn=-@
vadderots	"vA-d@-%ru:ts
vådeelder	"vo:-d@-%El-d@r
vadefuglenes	"vA:-d@-%f}:-ln=-@s
vadefuglene	"vA:-d@-%f}:-ln=-@
vadefuglen	"vA:-d@-%f}:-ln=
vådeild	"vo:-d@-%Il
vådeligere	"vo:-d@-lI-@-r@
vådeligst	'vo:-d@-lIgst
vådeligs	"vo:-d@-lIs
vadende	"vA:-dn=-@
vådene	"vo:-dn=-@
våders	"vo:-d@s`
vådeskuddets	"vo:-d@-%sku0-d@ts
vadestedenes	"vA:-d@-%ste:-dn=-@s
vådes	"vo:-d@s
vadmålsbukse	"vAd-mo:ls-%bUk-s@
vadmelsbuksas	"vAd-me:ls-%bUk-sAs
vadmelsbuksen	"vAd-me:ls-%bUk-sn=
Vadmyras	"vAd-%my:-rAs
vadrendes	"vA-dr@-n@s
vadret	"vA-dr@t
vadsekkene	"vA:d-%sE-k@-n@
vadsekken	"vA:d-%sE-k@n
Vad	'vA:d
våens	"vo:-@ns
væpnas	"v{:p-nAs
væpnerers	"ve:p-n@-r@s`
væpner	"ve:p-n@r
væpnets	"v{:p-n@ts
værbarka	"v{:r-%bAr-kA
værbarkets	"v{:r-%bAr-k@ts
værbeskyttet	"v{:r-b@-%SY-t@t
værbrødrenes	"v{:r-%br2:-dr@-n@s
værbrødres	"v{:r-%br2:-dr@s
værbroren	"v{:r-%bru:-n=
væreierens	"v{:r-%{*I-@rn`S
